Wavel.,Raw Data,Fit Data,Brilliant Violet 605 (BV605) fit,Alexa Fluor 647 fit,Alexa Fluor 750 fit,Alexa Fluor 488 fit,Brilliant Violet 605 (BV605) coeff,Alexa Fluor 647 coeff,Alexa Fluor 750 coeff,Alexa Fluor 488 coeff
300,204.04451370654203,0.0,0.0,0.0,0.0,0.0,494.7316810157178,367.31823555799826,360.78628418869124,345.9638850830424
301,529.243358158121,0.0,0.0,0.0,0.0,0.0,,,,
302,539.978888641268,0.0,0.0,0.0,0.0,0.0,,,,
303,560.2056598064985,0.0,0.0,0.0,0.0,0.0,,,,
304,218.09607906226717,0.0,0.0,0.0,0.0,0.0,,,,
305,-554.346106234471,0.0,0.0,0.0,0.0,0.0,,,,
306,-130.28383909709729,0.0,0.0,0.0,0.0,0.0,,,,
307,1193.5970865339798,0.0,0.0,0.0,0.0,0.0,,,,
308,542.6459527558955,0.0,0.0,0.0,0.0,0.0,,,,
309,-386.17532720815296,0.0,0.0,0.0,0.0,0.0,,,,
310,468.84546504963663,0.0,0.0,0.0,0.0,0.0,,,,
311,137.13981878534662,0.0,0.0,0.0,0.0,0.0,,,,
312,433.8634836255525,0.0,0.0,0.0,0.0,0.0,,,,
313,871.3825019840538,0.0,0.0,0.0,0.0,0.0,,,,
314,636.6942867293155,0.0,0.0,0.0,0.0,0.0,,,,
315,440.3140861213015,0.0,0.0,0.0,0.0,0.0,,,,
316,-493.9686467099744,0.0,0.0,0.0,0.0,0.0,,,,
317,78.90783604122016,0.0,0.0,0.0,0.0,0.0,,,,
318,32.41741642520353,0.0,0.0,0.0,0.0,0.0,,,,
319,674.0103547668047,0.0,0.0,0.0,0.0,0.0,,,,
320,138.25906792075108,0.0,0.0,0.0,0.0,0.0,,,,
321,-784.2530795584814,0.0,0.0,0.0,0.0,0.0,,,,
322,-449.1415963343754,0.0,0.0,0.0,0.0,0.0,,,,
323,-158.54446615637892,0.0,0.0,0.0,0.0,0.0,,,,
324,-297.1763135001815,0.0,0.0,0.0,0.0,0.0,,,,
325,722.2970253782069,0.0,0.0,0.0,0.0,0.0,,,,
326,1075.4658813624042,0.0,0.0,0.0,0.0,0.0,,,,
327,347.1904606621201,0.0,0.0,0.0,0.0,0.0,,,,
328,747.0002790450668,0.0,0.0,0.0,0.0,0.0,,,,
329,316.6513675927429,0.0,0.0,0.0,0.0,0.0,,,,
330,284.64989077687494,0.0,0.0,0.0,0.0,0.0,,,,
331,667.4079591461298,0.0,0.0,0.0,0.0,0.0,,,,
332,-360.6708770957368,0.0,0.0,0.0,0.0,0.0,,,,
333,519.241434383362,0.0,0.0,0.0,0.0,0.0,,,,
334,-229.57910715162143,0.0,0.0,0.0,0.0,0.0,,,,
335,-491.1527460302807,0.0,0.0,0.0,0.0,0.0,,,,
336,603.6274374846951,0.0,0.0,0.0,0.0,0.0,,,,
337,-77.08404484183643,0.0,0.0,0.0,0.0,0.0,,,,
338,-209.99395351485344,0.0,0.0,0.0,0.0,0.0,,,,
339,-820.5184170390945,0.0,0.0,0.0,0.0,0.0,,,,
340,-504.7213495366318,0.0,0.0,0.0,0.0,0.0,,,,
341,-272.428345724358,0.0,0.0,0.0,0.0,0.0,,,,
342,-421.2980530456281,0.0,0.0,0.0,0.0,0.0,,,,
343,135.8557246104377,0.0,0.0,0.0,0.0,0.0,,,,
344,-6.328056784280275,0.0,0.0,0.0,0.0,0.0,,,,
345,243.06784624818684,0.0,0.0,0.0,0.0,0.0,,,,
346,22.077512940893044,0.0,0.0,0.0,0.0,0.0,,,,
347,-625.3973387350296,0.0,0.0,0.0,0.0,0.0,,,,
348,-885.6420603027778,0.0,0.0,0.0,0.0,0.0,,,,
349,-109.5658019160185,0.0,0.0,0.0,0.0,0.0,,,,
350,464.15157652231926,0.0,0.0,0.0,0.0,0.0,,,,
351,256.5754388397368,0.0,0.0,0.0,0.0,0.0,,,,
352,-119.55883639282231,0.0,0.0,0.0,0.0,0.0,,,,
353,841.2646683751277,0.0,0.0,0.0,0.0,0.0,,,,
354,697.5462662005649,0.0,0.0,0.0,0.0,0.0,,,,
355,434.52237396989625,0.0,0.0,0.0,0.0,0.0,,,,
356,-408.3434658991293,0.0,0.0,0.0,0.0,0.0,,,,
357,123.41396447163234,0.0,0.0,0.0,0.0,0.0,,,,
358,-699.6263909316613,0.0,0.0,0.0,0.0,0.0,,,,
359,348.61805178365074,0.0,0.0,0.0,0.0,0.0,,,,
360,-720.8271868193614,0.0,0.0,0.0,0.0,0.0,,,,
361,614.6046576342205,0.0,0.0,0.0,0.0,0.0,,,,
362,-232.7475539043435,0.0,0.0,0.0,0.0,0.0,,,,
363,115.2851680646198,0.0,0.0,0.0,0.0,0.0,,,,
364,873.0693775435547,0.0,0.0,0.0,0.0,0.0,,,,
365,204.2081813889857,0.0,0.0,0.0,0.0,0.0,,,,
366,1051.3374812672398,0.0,0.0,0.0,0.0,0.0,,,,
367,-318.07582151350465,0.0,0.0,0.0,0.0,0.0,,,,
368,-183.79824674806497,0.0,0.0,0.0,0.0,0.0,,,,
369,-217.30815093459785,0.0,0.0,0.0,0.0,0.0,,,,
370,-445.0725251117548,0.0,0.0,0.0,0.0,0.0,,,,
371,570.9758258622354,0.0,0.0,0.0,0.0,0.0,,,,
372,970.7623939655064,0.0,0.0,0.0,0.0,0.0,,,,
373,-390.5848681147295,0.0,0.0,0.0,0.0,0.0,,,,
374,368.1629545875052,0.0,0.0,0.0,0.0,0.0,,,,
375,2034.6530035102408,0.0,0.0,0.0,0.0,0.0,,,,
376,-984.6062553427928,0.0,0.0,0.0,0.0,0.0,,,,
377,244.40169480001592,0.0,0.0,0.0,0.0,0.0,,,,
378,755.7401138205629,0.0,0.0,0.0,0.0,0.0,,,,
379,253.87387715732905,0.0,0.0,0.0,0.0,0.0,,,,
380,-1327.1948941635303,0.0,0.0,0.0,0.0,0.0,,,,
381,-35.21100015235723,0.0,0.0,0.0,0.0,0.0,,,,
382,240.47471943320045,0.0,0.0,0.0,0.0,0.0,,,,
383,-155.37869266635585,0.0,0.0,0.0,0.0,0.0,,,,
384,-841.2420148686023,0.0,0.0,0.0,0.0,0.0,,,,
385,259.9706154835357,0.0,0.0,0.0,0.0,0.0,,,,
386,-129.10678881015423,0.0,0.0,0.0,0.0,0.0,,,,
387,236.60999111461135,0.0,0.0,0.0,0.0,0.0,,,,
388,622.5854173488699,0.0,0.0,0.0,0.0,0.0,,,,
389,-563.5787946110318,0.0,0.0,0.0,0.0,0.0,,,,
390,487.7171978963047,0.0,0.0,0.0,0.0,0.0,,,,
391,-382.5649422466509,0.0,0.0,0.0,0.0,0.0,,,,
392,335.05763769576845,0.0,0.0,0.0,0.0,0.0,,,,
393,-933.1947917124904,0.0,0.0,0.0,0.0,0.0,,,,
394,559.8905495535431,0.0,0.0,0.0,0.0,0.0,,,,
395,-432.0644724737665,103.80682562435575,103.80682562435575,0.0,0.0,0.0,,,,
396,66.75295449925733,113.6770645202109,113.6770645202109,0.0,0.0,0.0,,,,
397,-786.8422638460862,124.90707393606945,124.90707393606945,0.0,0.0,0.0,,,,
398,-95.7429699933002,137.11726901074533,137.11726901074533,0.0,0.0,0.0,,,,
399,972.9447027481158,151.5213175883994,151.5213175883994,0.0,0.0,0.0,,,,
400,201.19326790341265,167.43974231530103,167.43974231530103,0.0,0.0,0.0,,,,
401,-604.0040985018312,196.38431813106092,196.38431813106092,0.0,0.0,0.0,,,,
402,-146.68628021874426,237.36078821839035,237.36078821839035,0.0,0.0,0.0,,,,
403,713.6947594402212,283.9399065951839,283.9399065951839,0.0,0.0,0.0,,,,
404,776.9674681712607,341.87475609734753,341.87475609734753,0.0,0.0,0.0,,,,
405,736.7763655323732,411.4751649137755,411.4751649137755,0.0,0.0,0.0,,,,
406,172.80163034197187,498.49858089799517,498.49858089799517,0.0,0.0,0.0,,,,
407,797.4273170560823,605.377658598631,605.377658598631,0.0,0.0,0.0,,,,
408,516.936323716724,729.0085241745472,729.0085241745472,0.0,0.0,0.0,,,,
409,554.7138371339538,868.9600813019308,868.9600813019308,0.0,0.0,0.0,,,,
410,1005.1453279052968,1025.934898440992,1025.934898440992,0.0,0.0,0.0,,,,
411,1117.5412625103488,1207.968018200955,1207.968018200955,0.0,0.0,0.0,,,,
412,1449.746847366962,1410.931915440568,1410.931915440568,0.0,0.0,0.0,,,,
413,2447.0594119845564,1624.8856234333946,1624.8856234333946,0.0,0.0,0.0,,,,
414,1337.957167905406,1848.2039184286657,1848.2039184286657,0.0,0.0,0.0,,,,
415,2269.638553288666,2074.312167645176,2074.312167645176,0.0,0.0,0.0,,,,
416,3262.577115000549,2301.4235076078708,2301.4235076078708,0.0,0.0,0.0,,,,
417,1878.99988686932,2514.1834978115735,2514.1834978115735,0.0,0.0,0.0,,,,
418,2597.9203378378943,2700.3696550361146,2700.3696550361146,0.0,0.0,0.0,,,,
419,2506.7769877289097,2864.9541509165747,2864.9541509165747,0.0,0.0,0.0,,,,
420,4205.361095116916,3000.6245444738993,3000.6245444738993,0.0,0.0,0.0,,,,
421,2878.225838145117,3094.825312972745,3094.825312972745,0.0,0.0,0.0,,,,
422,3931.692499606136,3139.651095345775,3139.651095345775,0.0,0.0,0.0,,,,
423,2610.1631431406718,3138.7570093256004,3138.7570093256004,0.0,0.0,0.0,,,,
424,2656.9008551028046,3098.570540144272,3098.570540144272,0.0,0.0,0.0,,,,
425,3060.3648678260297,3028.5929394837995,3028.5929394837995,0.0,0.0,0.0,,,,
426,3107.1015314133792,2921.8839925872894,2921.8839925872894,0.0,0.0,0.0,,,,
427,3247.535778368449,2785.920343362922,2785.920343362922,0.0,0.0,0.0,,,,
428,1608.5096103616495,2635.1462264533357,2635.1462264533357,0.0,0.0,0.0,,,,
429,1520.137124054,2478.521726343943,2478.521726343943,0.0,0.0,0.0,,,,
430,2903.1610741735803,2315.5680595241984,2315.5680595241984,0.0,0.0,0.0,,,,
431,2217.0428467447005,2155.124052239228,2155.124052239228,0.0,0.0,0.0,,,,
432,1752.7981860589923,2013.5336583241403,2013.5336583241403,0.0,0.0,0.0,,,,
433,493.07840570121175,1885.991684517711,1885.991684517711,0.0,0.0,0.0,,,,
434,1458.6634723973646,1779.6129794287178,1779.6129794287178,0.0,0.0,0.0,,,,
435,1028.6031483037,1687.9383831239634,1687.9383831239634,0.0,0.0,0.0,,,,
436,1552.7862582572288,1614.7494133227037,1614.7494133227037,0.0,0.0,0.0,,,,
437,1409.8559661065024,1561.7713245637563,1561.7713245637563,0.0,0.0,0.0,,,,
438,1257.5418093542826,1529.1064679267527,1529.1064679267527,0.0,0.0,0.0,,,,
439,406.6031902389627,1506.9272360395228,1506.9272360395228,0.0,0.0,0.0,,,,
440,1776.1193439541955,1501.2604853661496,1501.2604853661496,0.0,0.0,0.0,,,,
441,1698.55380619151,1505.4806114150638,1505.4806114150638,0.0,0.0,0.0,,,,
442,770.6626459625,1518.7058860687507,1518.7058860687507,0.0,0.0,0.0,,,,
443,1765.6753740661036,1533.500300205652,1533.500300205652,0.0,0.0,0.0,,,,
444,2218.3578525224734,1554.9925719224757,1554.9925719224757,0.0,0.0,0.0,,,,
445,2393.3920828786454,1570.630941907778,1570.630941907778,0.0,0.0,0.0,,,,
446,978.0694029538896,1585.0781889716234,1585.0781889716234,0.0,0.0,0.0,,,,
447,739.5788181017033,1590.383745444589,1590.383745444589,0.0,0.0,0.0,,,,
448,1391.6351091745955,1596.033270550293,1596.033270550293,0.0,0.0,0.0,,,,
449,1945.800560864994,1588.7569885203404,1588.7569885203404,0.0,0.0,0.0,,,,
450,760.993638026436,1575.6680965491591,1575.6680965491591,0.0,0.0,0.0,,,,
451,1721.9946291496904,1549.0757986994674,1549.0757986994674,0.0,0.0,0.0,,,,
452,1488.9726464980554,1517.3528602257545,1517.3528602257545,0.0,0.0,0.0,,,,
453,2134.8242089337955,1477.3751490140114,1477.3751490140114,0.0,0.0,0.0,,,,
454,1493.193327099514,1430.1202177610483,1430.1202177610483,0.0,0.0,0.0,,,,
455,1621.5868637995668,1377.47952908231,1377.47952908231,0.0,0.0,0.0,,,,
456,1885.2900939562355,1322.1874130319438,1322.1874130319438,0.0,0.0,0.0,,,,
457,1124.849107476918,1262.6413184226583,1262.6413184226583,0.0,0.0,0.0,,,,
458,1322.386869596073,1204.203003741114,1204.203003741114,0.0,0.0,0.0,,,,
459,2381.0734600107658,1142.0180355766063,1142.0180355766063,0.0,0.0,0.0,,,,
460,845.5742639487514,1082.6699424806968,1082.6699424806968,0.0,0.0,0.0,,,,
461,1215.127504590855,1027.3890617868062,1027.3890617868062,0.0,0.0,0.0,,,,
462,-80.23365295575934,974.1649617626937,974.1649617626937,0.0,0.0,0.0,,,,
463,691.7536361203023,920.9603437774476,920.9603437774476,0.0,0.0,0.0,,,,
464,618.3196078580232,874.345367248414,874.345367248414,0.0,0.0,0.0,,,,
465,609.1825167676752,831.856101679558,831.856101679558,0.0,0.0,0.0,,,,
